Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031220787958,800000031220665091,92,,CREDIT,Martina,Martina,0.00,7.78,,10/26/25 10:58 AM,10/26/25 10:55 AM
800000031220805699,800000031220181851,97,,CREDIT,AM,AM,0.00,34.44,,10/26/25 10:58 AM,10/26/25 10:44 AM
800000031220833057,800000031220738315,75,,CASH,Martina,Martina,0.00,12.74,Drive Thru Cash Drawer,10/26/25 10:59 AM,10/26/25 10:56 AM
800000031220940473,800000031220754073,112,,CREDIT,Martina,Martina,0.00,4.30,,10/26/25 11:01 AM,10/26/25 10:57 AM
800000031220980117,800000031220880228,115,,CREDIT,Martina,Martina,0.00,11.42,,10/26/25 11:01 AM,10/26/25 11:00 AM
800000031221088832,800000031220958791,116,,CREDIT,Martina,Martina,0.00,18.69,,10/26/25 11:04 AM,10/26/25 11:01 AM
800000031221146020,800000031221039564,117,,CREDIT,Martina,Martina,3.00,15.93,,10/26/25 11:05 AM,10/26/25 11:03 AM
800000031221234576,800000031221076536,119,,CREDIT,Martina,Martina,0.00,5.39,,10/26/25 11:06 AM,10/26/25 11:03 AM
800000031221339499,800000031221219996,120,,CREDIT,Martina,Martina,0.00,28.79,,10/26/25 11:08 AM,10/26/25 11:06 AM
800000031221434711,800000031221284717,121,,CREDIT,Martina,Martina,0.00,15.12,,10/26/25 11:10 AM,10/26/25 11:07 AM
800000031221540721,800000031221355728,122,,CREDIT,Martina,Martina,0.00,6.78,,10/26/25 11:12 AM,10/26/25 11:09 AM
800000031221570971,800000031221447923,123,,CREDIT,Martina,Martina,3.00,15.08,,10/26/25 11:12 AM,10/26/25 11:10 AM
800000031221645930,800000031220538759,107,22,CREDIT,samantha,AM,5.00,16.36,,10/26/25 11:14 AM,10/26/25 10:52 AM
800000031221672246,800000031221551232,125,,CREDIT,Martina,Martina,0.00,5.39,,10/26/25 11:14 AM,10/26/25 11:12 AM
800000031221745687,800000031221706689,126,,CREDIT,Martina,Martina,0.00,27.53,,10/26/25 11:16 AM,10/26/25 11:15 AM
800000031221822293,800000031221799404,128,,CREDIT,Martina,Martina,0.00,6.46,,10/26/25 11:17 AM,10/26/25 11:17 AM
800000031221838171,800000031221836421,129,,CASH,Martina,Martina,0.00,6.47,Drive Thru Cash Drawer,10/26/25 11:17 AM,10/26/25 11:17 AM
800000031221913352,800000031220246561,100,6,CASH,Sami,AM,0.00,14.56,Front Box Cash Drawer,10/26/25 11:19 AM,10/26/25 10:45 AM
800000031221970260,800000031221780536,127,,CREDIT,Martina,Martina,0.00,27.33,,10/26/25 11:19 AM,10/26/25 11:16 AM
800000031222059655,800000031222058957,132,,CASH,Martina,Martina,0.00,8.64,Drive Thru Cash Drawer,10/26/25 11:21 AM,10/26/25 11:21 AM
800000031222116762,800000031221864407,130,,CREDIT,Martina,Martina,0.00,21.13,,10/26/25 11:22 AM,10/26/25 11:18 AM
800000031222183178,800000031221900785,131,,CREDIT,Martina,Martina,0.00,20.59,,10/26/25 11:23 AM,10/26/25 11:18 AM
800000031222243228,800000031219832480,91,3,CASH,samantha,AM,0.00,26.66,Front Box Cash Drawer,10/26/25 11:24 AM,10/26/25 10:36 AM
800000031222343925,800000031222106522,133,,CASH,Martina,Martina,0.00,23.78,Drive Thru Cash Drawer,10/26/25 11:26 AM,10/26/25 11:22 AM
800000031222425916,800000031222193822,136,,CREDIT,Martina,Martina,0.00,10.19,,10/26/25 11:27 AM,10/26/25 11:23 AM
