Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031262101908,800000031261979557,227,,CREDIT,Ivana,Ivana,0.00,9.61,,10/27/25 12:36 PM,10/27/25 12:33 PM
800000031262131005,800000031260820214,204,23,CREDIT,Maria,Maria,4.00,21.49,,10/27/25 12:37 PM,10/27/25 11:58 AM
800000031262133776,800000031260527832,194,17,CASH,Maria,Maria,0.00,6.46,,10/27/25 12:37 PM,10/27/25 11:50 AM
800000031262153359,800000031261008732,209,25,CREDIT,Maria,Maria,4.00,13.38,,10/27/25 12:38 PM,10/27/25 12:04 PM
800000031262209422,800000031262200001,229,,CREDIT,Candy ,Candy ,1.00,6.24,,10/27/25 12:40 PM,10/27/25 12:39 PM
800000031262296865,800000031261356508,213,11,CREDIT,Silvia,Silvia,5.00,26.90,,10/27/25 12:43 PM,10/27/25 12:14 PM
800000031262357738,800000031261482368,217,7,CASH,Silvia,Silvia,0.00,4.31,,10/27/25 12:44 PM,10/27/25 12:17 PM
800000031262404482,800000031261670328,220,24,CREDIT,Silvia,Silvia,5.00,32.97,,10/27/25 12:46 PM,10/27/25 12:23 PM
800000031262552259,800000031262429664,232,,CREDIT,Candy ,Candy ,0.00,5.81,,10/27/25 12:51 PM,10/27/25 12:47 PM
800000031262594436,800000031261408109,215,33,CREDIT,Rosa,Ivana,5.00,28.20,,10/27/25 12:52 PM,10/27/25 12:15 PM
